DATE,CATEGORY,DESCRIPTION, AMOUNT ,BRANCH,,,
3/16/2023,SALE,LONG_TERM_STORAGE_WILL_FRISE, $111.96 ,BLACKSBURG,,,
3/16/2023,SALE,SUMMER_STORAGE_GODWIN_CLAUSSON, $416.60 ,BLACKSBURG,,,
3/17/2023,SALE,LONG_TERM_STORAGE_KAROLINE_WOODWORTH, $229.95 ,RICHMOND,,,
3/18/2023,SALE,SUMMER_STORAGE_ELWOOD_BOC, $625.64 ,CHARLOTTESVILLE,,,
3/18/2023,SALE,SUMMER_STORAGE_SALLYANN_LITSTER, $617.48 ,CHARLOTTESVILLE,,,
3/19/2023,SALE,SHIPPING_THORNIE_EVERIX, $520.59 ,WILLIAMSBURG,,,
3/20/2023,SALE,SUMMER_STORAGE_DOV_FENNICK, $990.40 ,CHARLOTTESVILLE,,,
3/21/2023,SALE,SUMMER_STORAGE_GWYNETH_SEDGMOND, $951.50 ,WILLIAMSBURG,,,
3/22/2023,SALE,SUMMER_STORAGE_LUKAS_MCGAWN, $245.80 ,BLACKSBURG,,,
3/23/2023,SALE,SUMMER_STORAGE_COBB_FIDOE, $936.44 ,CHARLOTTESVILLE,,,
3/24/2023,SALE,LONG_TERM_STORAGE_AMYE_FULLAGAR, $388.35 ,BLACKSBURG,,,
3/24/2023,SALE,LONG_TERM_STORAGE_EMERSON_GEHRINGER, $135.83 ,BLACKSBURG,,,
3/25/2023,SALE,SUMMER_STORAGE_ETTI_SLOAN, $135.71 ,CHARLOTTESVILLE,,,
3/28/2023,SALE,SUMMER_STORAGE_ULRIKAUMEKO_CREVAGH, $235.90 ,BLACKSBURG,,,
3/29/2023,SALE,SUMMER_STORAGE_GABBI_DUCKERS, $673.48 ,CHARLOTTESVILLE,,,
3/30/2023,SALE,SUMMER_STORAGE_LEDA_LIBBIS, $401.80 ,RICHMOND,,,
3/31/2023,SALE,LONG_TERM_STORAGE_REBEKA_AGER, $172.15 ,CHARLOTTESVILLE,,,
4/5/2023,SALE,LONG_TERM_STORAGE_TAWNYA_WYLEY, $666.14 ,CHARLOTTESVILLE,,,
4/6/2023,SALE,LONG_TERM_STORAGE_MALANIE_PARNCUTT, $876.75 ,CHARLOTTESVILLE,,,
4/7/2023,SALE,SUMMER_STORAGE_AMABEL_DOMONEY, $634.51 ,BLACKSBURG,,,
4/11/2023,SALE,SUMMER_STORAGE_ELEANORE_SEMPER, $833.78 ,CHARLOTTESVILLE,,,
4/11/2023,SALE,SUMMER_STORAGE_KATTIE_NOREWOOD, $616.04 ,BLACKSBURG,,,
4/13/2023,SALE,LONG_TERM_STORAGE_GIACOBO_BELTON, $716.12 ,CHARLOTTESVILLE,,,
4/13/2023,SALE,SUMMER_STORAGE_NIKKI_STEBBINGS, $791.73 ,BLACKSBURG,,,
4/15/2023,SALE,SUMMER_STORAGE_MAGNUM_BARKLY, $507.07 ,BLACKSBURG,,,
4/16/2023,SALE,SUMMER_STORAGE_MOZES_GRUMLEY, $870.46 ,BLACKSBURG,,,
4/17/2023,SALE,SUMMER_STORAGE_JO_RYDINGS, $555.99 ,BLACKSBURG,,,
4/17/2023,SALE,LONG_TERM_STORAGE_BRET_FOXEN, $635.85 ,WILLIAMSBURG,,,
4/20/2023,SALE,SUMMER_STORAGE_ALDRICH_ARNATT, $640.60 ,BLACKSBURG,,,
4/20/2023,SALE,LONG_TERM_STORAGE_OLWEN_BORGHESE, $421.88 ,LEXINGTON,,,
4/21/2023,SALE,LONG_TERM_STORAGE_MARYSA_MORHALL, $664.02 ,CHARLOTTESVILLE,,,
4/21/2023,SALE,SUMMER_STORAGE_BERT_DUKESBURY, $565.38 ,BLACKSBURG,,,
4/22/2023,SALE,SUMMER_STORAGE_BENSON_VENNING, $696.16 ,WILLIAMSBURG,,,
4/23/2023,SALE,SHIPPING_BREENA_VARVARA, $803.64 ,CHARLOTTESVILLE,,,
4/24/2023,SALE,SUMMER_STORAGE_KAROLE_BERTHELMOT, $754.08 ,CHARLOTTESVILLE,,,
4/24/2023,SALE,SUMMER_STORAGE_CORRI_CASSELLA, $638.60 ,CHARLOTTESVILLE,,,
4/24/2023,SALE,SUMMER_STORAGE_ALISANDER_LOVART, $840.98 ,BLACKSBURG,,,
4/25/2023,SALE,SUMMER_STORAGE_ELYN_FEARNILL, $253.62 ,CHARLOTTESVILLE,,,
4/26/2023,SALE,LONG_TERM_STORAGE_STEVANA_FERRARA, $890.71 ,BLACKSBURG,,,
4/26/2023,SALE,SUMMER_STORAGE_MAURENE_DANILEVICH, $268.89 ,WILLIAMSBURG,,,
4/29/2023,SALE,SUMMER_STORAGE_MATTHIEW_CRUDGINTON, $238.34 ,BLACKSBURG,,,
4/30/2023,SALE,SUMMER_STORAGE_MERLA_ELIASSON, $820.16 ,CHARLOTTESVILLE,,,
4/30/2023,SALE,SUMMER_STORAGE_QUINTILLA_TURMELL, $491.72 ,BLACKSBURG,,,
5/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_3MO," $(9,450.00)",CHARLOTTESVILLE,,,
5/1/2023,TRUCK_RENTAL,UHAUL_TRUCK_RENTAL_1DAY, $(140.00),CHARLOTTESVILLE,,,
5/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_3MO," $(13,387.50)",BLACKSBURG,,,
5/1/2023,TRUCK_RENTAL,UHAUL_TRUCK_RENTAL_1DAY, $(140.00),BLACKSBURG,,,
5/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_3MO," $(3,150.00)",WILLIAMSBURG,,,
5/1/2023,TRUCK_RENTAL,UHAUL_TRUCK_RENTAL_1DAY, $(140.00),WILLIAMSBURG,,,
5/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_3MO," $(1,575.00)",RICHMOND,,,
5/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_3MO, $(787.50),LEXINGTON,,,
5/2/2023,SALE,LONG_TERM_STORAGE_RHETT_BROCKWAY, $810.73 ,BLACKSBURG,,,
5/2/2023,SALE,SHIPPING_TALYAH_FORGE, $590.29 ,BLACKSBURG,,,
5/7/2023,SALE,LONG_TERM_STORAGE_BERYLE_PHILLIPSON, $548.37 ,CHARLOTTESVILLE,,,
5/10/2023,SALE,SUMMER_STORAGE_WILLY_GARR, $261.75 ,CHARLOTTESVILLE,,,
5/11/2023,SALE,LONG_TERM_STORAGE_BRADNEY_LITCHMORE, $535.71 ,CHARLOTTESVILLE,,,
5/12/2023,SALE,SUMMER_STORAGE_MORGANNE_LYE, $384.45 ,CHARLOTTESVILLE,,,
5/13/2023,SALE,LONG_TERM_STORAGE_CHARISSE_HUITSON, $239.99 ,CHARLOTTESVILLE,,,
5/13/2023,SALE,SUMMER_STORAGE_NEDI_FAIRCLOTH, $914.49 ,RICHMOND,,,
5/16/2023,SALE,LONG_TERM_STORAGE_CONRADE_CROCK, $273.92 ,BLACKSBURG,,,
5/18/2023,SALE,SHIPPING_ANALLESE_PIETERSEN, $859.99 ,CHARLOTTESVILLE,,,
5/18/2023,SALE,SHIPPING_RORY_BALCOMBE, $859.11 ,CHARLOTTESVILLE,,,
5/18/2023,SALE,LONG_TERM_STORAGE_BRAN_DI_FRANCESCO, $598.74 ,LEXINGTON,,,
5/19/2023,SALE,SUMMER_STORAGE_MILO_GHENT, $716.79 ,CHARLOTTESVILLE,,,
5/20/2023,SALE,SUMMER_STORAGE_BERKY_BEAVON, $521.24 ,CHARLOTTESVILLE,,,
5/20/2023,SALE,LONG_TERM_STORAGE_CARMA_FAUSSET, $423.12 ,CHARLOTTESVILLE,,,
5/22/2023,SALE,SUMMER_STORAGE_ILARIO_OAKESHOTT, $307.58 ,BLACKSBURG,,,
5/22/2023,SALE,SUMMER_STORAGE_GERI_YULE, $960.56 ,BLACKSBURG,,,
5/24/2023,SALE,SHIPPING_ELI_BRIMBLECOMB, $955.11 ,BLACKSBURG,,,
5/25/2023,SALE,SUMMER_STORAGE_MODESTINE_HASEMAN, $465.04 ,CHARLOTTESVILLE,,,
5/26/2023,SALE,SHIPPING_ARIE_FIELDGATE, $351.23 ,BLACKSBURG,,,
5/26/2023,SALE,SUMMER_STORAGE_ROMAIN_DAVIDOFSKI, $211.46 ,BLACKSBURG,,,
5/26/2023,SALE,SUMMER_STORAGE_CARINE_SHER, $584.47 ,WILLIAMSBURG,,,
5/27/2023,SALE,SUMMER_STORAGE_MILLI_FOMICHYOV, $824.22 ,CHARLOTTESVILLE,,,
5/27/2023,SALE,LONG_TERM_STORAGE_INGABORG_CLEMENTI, $898.43 ,CHARLOTTESVILLE,,,
5/28/2023,SALE,SHIPPING_GERMAIN_HANNIGANE, $770.27 ,BLACKSBURG,,,
5/29/2023,SALE,SUMMER_STORAGE_PATRIC_PAFFETT, $287.05 ,RICHMOND,,,
6/1/2023,SALE,LONG_TERM_STORAGE_NERTE_CHOULERTON, $323.28 ,CHARLOTTESVILLE,,,
6/1/2023,SALE,SHIPPING_TYRONE_COSBY, $511.79 ,CHARLOTTESVILLE,,,
6/1/2023,SALE,SUMMER_STORAGE_ALEXA_BROGGIO, $211.62 ,BLACKSBURG,,,
6/2/2023,SALE,SUMMER_STORAGE_STACIE_MUNNIS, $856.69 ,CHARLOTTESVILLE,,,
6/2/2023,SALE,LONG_TERM_STORAGE_EAL_FEUELL, $604.27 ,BLACKSBURG,,,
6/3/2023,SALE,SUMMER_STORAGE_BIBI_DEVOY, $952.95 ,CHARLOTTESVILLE,,,
6/3/2023,SALE,LONG_TERM_STORAGE_MAIGHDILN_PAOLONE, $788.74 ,BLACKSBURG,,,
6/4/2023,SALE,LONG_TERM_STORAGE_CECILIA_BENITEZ, $898.11 ,BLACKSBURG,,,
6/4/2023,SALE,SUMMER_STORAGE_STEPHI_KILGREW, $679.98 ,BLACKSBURG,,,
6/7/2023,SALE,SUMMER_STORAGE_CULLY_EDGESON, $485.56 ,CHARLOTTESVILLE,,,
6/8/2023,SALE,SUMMER_STORAGE_CAROLJEAN_BUTTE, $445.05 ,CHARLOTTESVILLE,,,
6/10/2023,SALE,SHIPPING_JOSY_VOTIER, $276.09 ,CHARLOTTESVILLE,,,
6/10/2023,SALE,SUMMER_STORAGE_HUBEY_GATMAN, $974.98 ,CHARLOTTESVILLE,,,
6/10/2023,SALE,LONG_TERM_STORAGE_VALDEMAR_GULLYES, $186.91 ,BLACKSBURG,,,
6/11/2023,SALE,SUMMER_STORAGE_MALLORIE_ANDRASCH, $284.49 ,CHARLOTTESVILLE,,,
6/11/2023,SALE,SHIPPING_DANIELLE_CARTMEL, $260.32 ,BLACKSBURG,,,
6/12/2023,SALE,SUMMER_STORAGE_NEILLA_WENDOVER, $871.47 ,CHARLOTTESVILLE,,,
6/12/2023,SALE,SUMMER_STORAGE_DALLAS_SIVERNS, $404.47 ,LEXINGTON,,,
6/14/2023,SALE,SUMMER_STORAGE_DOLORITA_LILLO, $866.83 ,BLACKSBURG,,,
6/14/2023,SALE,SUMMER_STORAGE_MAISEY_L'ARGENT, $658.31 ,WILLIAMSBURG,,,
6/15/2023,SALE,SUMMER_STORAGE_TAMERA_HILBOURNE, $871.05 ,BLACKSBURG,,,
6/15/2023,SALE,SUMMER_STORAGE_ESRA_HELLEN, $900.81 ,WILLIAMSBURG,,,
6/16/2023,SALE,SUMMER_STORAGE_STANFIELD_MATHONNET, $932.30 ,CHARLOTTESVILLE,,,
6/16/2023,SALE,SUMMER_STORAGE_NEILL_MOWBURY, $975.50 ,CHARLOTTESVILLE,,,
6/16/2023,SALE,SUMMER_STORAGE_CLARITA_MUCCI, $466.22 ,BLACKSBURG,,,
6/18/2023,SALE,LONG_TERM_STORAGE_EMANUEL_BISTER, $660.22 ,CHARLOTTESVILLE,,,
6/19/2023,SALE,LONG_TERM_STORAGE_OLIVIA_FITZSYMONS, $157.90 ,CHARLOTTESVILLE,,,
6/19/2023,SALE,SUMMER_STORAGE_DIONISIO_BYFORTH, $124.19 ,BLACKSBURG,,,
6/21/2023,SALE,SUMMER_STORAGE_LUCA_KERSWELL, $728.94 ,BLACKSBURG,,,
6/22/2023,SALE,LONG_TERM_STORAGE_ABAGAIL_REDBOURN, $475.33 ,CHARLOTTESVILLE,,,
6/22/2023,SALE,SUMMER_STORAGE_AVELINE_THAW, $994.11 ,CHARLOTTESVILLE,,,
6/22/2023,SALE,SUMMER_STORAGE_ERNESTO_GLIGORI, $323.03 ,WILLIAMSBURG,,,
6/24/2023,SALE,LONG_TERM_STORAGE_HERIBERTO_SOLLNER, $414.92 ,CHARLOTTESVILLE,,,
6/24/2023,SALE,SUMMER_STORAGE_BORDIE_PRIMO, $459.66 ,WILLIAMSBURG,,,
6/25/2023,SALE,SUMMER_STORAGE_SAYRE_BEARSMORE, $896.60 ,BLACKSBURG,,,
6/29/2023,SALE,SHIPPING_RAMONA_BURWOOD, $202.74 ,CHARLOTTESVILLE,,,
6/30/2023,SALE,SHIPPING_MATTHIEW_MAFFIN, $325.07 ,WILLIAMSBURG,,,
7/1/2023,SALE,LONG_TERM_STORAGE_AURORA_TIPPETT, $272.38 ,BLACKSBURG,,,
7/5/2023,SALE,SUMMER_STORAGE_NOEMI_JIRAK, $158.61 ,BLACKSBURG,,,
7/8/2023,SALE,SUMMER_STORAGE_RAMONA_BEHNEKE, $735.17 ,BLACKSBURG,,,
7/8/2023,SALE,LONG_TERM_STORAGE_BROK_SLORANCE, $991.94 ,RICHMOND,,,
7/9/2023,SALE,LONG_TERM_STORAGE_CHRISTYNA_MIDDAS, $670.69 ,CHARLOTTESVILLE,,,
7/9/2023,SALE,SUMMER_STORAGE_MARIETTA_ERRATT, $277.19 ,CHARLOTTESVILLE,,,
7/10/2023,SALE,SUMMER_STORAGE_VERENA_BARHEM, $875.64 ,CHARLOTTESVILLE,,,
7/12/2023,SALE,LONG_TERM_STORAGE_KATHERINA_MALDEN, $454.30 ,BLACKSBURG,,,
7/13/2023,SALE,SUMMER_STORAGE_LAMAR_AYLMER, $512.12 ,BLACKSBURG,,,
7/13/2023,SALE,SUMMER_STORAGE_JEMMIE_CARDENOZA, $954.83 ,BLACKSBURG,,,
7/13/2023,SALE,SHIPPING_SCARFACE_KIGGEL, $508.84 ,WILLIAMSBURG,,,
7/14/2023,SALE,LONG_TERM_STORAGE_THADDUS_GANIFORD, $958.65 ,WILLIAMSBURG,,,
7/15/2023,SALE,LONG_TERM_STORAGE_LARA_LYGO, $939.09 ,BLACKSBURG,,,
7/16/2023,SALE,SUMMER_STORAGE_BRET_GURNELL, $374.27 ,BLACKSBURG,,,
7/17/2023,SALE,LONG_TERM_STORAGE_COINTON_MASKEW, $867.47 ,CHARLOTTESVILLE,,,
7/18/2023,SALE,SUMMER_STORAGE_LORENS_HARDWARE, $377.61 ,CHARLOTTESVILLE,,,
7/18/2023,SALE,SHIPPING_LEUPOLD_SEDWORTH, $628.73 ,CHARLOTTESVILLE,,,
7/18/2023,SALE,SUMMER_STORAGE_RAYMOND_SWYRE, $195.53 ,BLACKSBURG,,,
7/19/2023,SALE,SUMMER_STORAGE_HARVEY_TOFFALO, $367.63 ,BLACKSBURG,,,
7/21/2023,SALE,LONG_TERM_STORAGE_REIDER_REIHILL, $938.33 ,CHARLOTTESVILLE,,,
7/21/2023,SALE,SHIPPING_CHRISTAL_CURREY, $854.44 ,WILLIAMSBURG,,,
7/22/2023,SALE,SUMMER_STORAGE_TABBY_SPHINXE, $210.00 ,CHARLOTTESVILLE,,,
7/22/2023,SALE,SUMMER_STORAGE_WOLFGANG_BENEDETTINI, $131.42 ,BLACKSBURG,,,
7/23/2023,SALE,SUMMER_STORAGE_ADDIA_OLIFFE, $382.94 ,CHARLOTTESVILLE,,,
7/23/2023,SALE,SUMMER_STORAGE_CLARETA_POLINO, $515.62 ,BLACKSBURG,,,
7/23/2023,SALE,SHIPPING_ZACHARIA_LYGO, $292.42 ,BLACKSBURG,,,
7/24/2023,SALE,LONG_TERM_STORAGE_MERILL_YOODALL, $241.02 ,BLACKSBURG,,,
7/25/2023,SALE,SUMMER_STORAGE_MERRILY_ARIES, $387.30 ,BLACKSBURG,,,
7/27/2023,SALE,SUMMER_STORAGE_BRYN_BRUSSELL, $445.40 ,BLACKSBURG,,,
7/28/2023,SALE,LONG_TERM_STORAGE_PHILIPPINE_HOLLOWS, $596.09 ,BLACKSBURG,,,
7/29/2023,SALE,LONG_TERM_STORAGE_DAYLE_GATHERAL, $148.65 ,CHARLOTTESVILLE,,,
7/29/2023,SALE,SUMMER_STORAGE_CASSIE_MOZZETTI, $866.31 ,BLACKSBURG,,,
7/29/2023,SALE,LONG_TERM_STORAGE_THELMA_DRAKES, $463.69 ,BLACKSBURG,,,
7/30/2023,SALE,SUMMER_STORAGE_GEORGETTA_DRINKELD, $992.71 ,BLACKSBURG,,,
7/30/2023,SALE,SUMMER_STORAGE_THEOBALD_LETHCOE, $875.47 ,RICHMOND,,,
7/31/2023,SALE,LONG_TERM_STORAGE_ROCHELL_ELSWORTH, $567.24 ,BLACKSBURG,,,
8/1/2023,SALE,SUMMER_STORAGE_IRWINN_CASHELL, $218.23 ,CHARLOTTESVILLE,,,
8/4/2023,SALE,SUMMER_STORAGE_STANLEY_COLLEFORD, $510.41 ,LEXINGTON,,,
8/6/2023,SALE,SUMMER_STORAGE_AGNA_LUDWELL, $806.26 ,CHARLOTTESVILLE,,,
8/8/2023,SALE,SUMMER_STORAGE_RISA_BERNADON, $338.95 ,LEXINGTON,,,
8/9/2023,SALE,LONG_TERM_STORAGE_RAIMONDO_PHILIPSSON, $256.71 ,BLACKSBURG,,,
8/9/2023,SALE,SUMMER_STORAGE_MIDGE_ANNETTS, $190.19 ,WILLIAMSBURG,,,
8/11/2023,SALE,LONG_TERM_STORAGE_INIGO_LATLIFF, $943.88 ,CHARLOTTESVILLE,,,
8/13/2023,SALE,LONG_TERM_STORAGE_BRITTANEY_SMALLCOMB, $182.47 ,CHARLOTTESVILLE,,,
8/14/2023,SALE,SUMMER_STORAGE_HEATH_KAMALL, $701.23 ,BLACKSBURG,,,
8/15/2023,SALE,SUMMER_STORAGE_TRACIE_SCAMPION, $547.79 ,LEXINGTON,,,
8/16/2023,SALE,SUMMER_STORAGE_FLOSSI_AMBLER, $422.51 ,CHARLOTTESVILLE,,,
8/16/2023,SALE,SUMMER_STORAGE_NOMI_BRITIAN, $815.51 ,CHARLOTTESVILLE,,,
8/16/2023,SALE,LONG_TERM_STORAGE_ROBB_GASCARD, $282.40 ,BLACKSBURG,,,
